aircraft_Id; maximum_temperature_deviation_in_flight; minimum_temperature_deviation_in_flight; maximum_temperature_deviation_in_TOLD; minimum_temperature_deviation_in_TOLD
B752WRR40;-1000.0 : 37.0|0.0 : 39.4|10000.0 : 39.4|10001.0 : 33.9|36089.0 : 33.9|42000.0 : 22.5;-1000.0 : -79.0|0.0 : -77.0|32500.0 : -24.6|42000.0 : -17.5;-1000.0 : 37.0|0.0 : 39.4|8500.0 : 39.4;-1000.0 : -71.0|6000.0 : -57.0|8500.0 : -40.0
A310-222;-1000.0 : 38.0|0.0 : 40.0|10000.0 : 41.8|10001.0 : 34.8|36089.0 : 34.5|41100.0 : 24.5;-1000.0 : -57.0|36089.0 : -10.8|41100.0 : -14.5;-1000.0 : 38.0|0.0 : 40.0|8500.0 : 41.5;-1000.0 : -57.0|8500.0 : -45.2
A30B;-1000.0 : 38.0|0.0 : 40.0|14000.0 : 40.7|14001.0 : 34.7|36089.0 : 34.3|40000.0 : 26.5;-1000.0 : -57.0|36089.0 : -10.6|40000.0 : -13.5;-1000.0 : 38.0|0.0 : 40.0|14000.0 : 40.7;-1000.0 : -57.0|14000.0 : -38.3
B773ERGE115B;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32808.0 : -30.0|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
EMB-175LR;-1000.0 : 35.0|41000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -8.5|41000.0 : -8.5;-1000.0 : 35.0|8000.0 : 35.0;-1000.0 : -57.0|8000.0 : -39.2
MD808821;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0|8501.0 : 35.0|37000.0 : 35.0;-2000.0 : -69.0|8500.0 : -69.0|8501.0 : -74.0|36089.0 : -20.0|37000.0 : -20.0;-2000.0 : 35.0|2500.0 : 35.0|2501.0 : 40.0|8500.0 : 40.0;-2000.0 : -69.0|8500.0 : -69.0
B788RR70;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32808.0 : -30.0|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
EMB-170LR;-1000.0 : 35.0|41000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -8.5|41000.0 : -8.5;-1000.0 : 35.0|8000.0 : 35.0;-1000.0 : -57.0|8000.0 : -39.2
EMB-175STD;-1000.0 : 35.0|41000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -8.5|41000.0 : -8.5;-1000.0 : 35.0|8000.0 : 35.0;-1000.0 : -57.0|8000.0 : -39.2
B743PW;-1000.0 : 37.4|0.0 : 39.4|14000.0 : 39.4|14001.0 : 33.6|36089.0 : 33.6|44000.0 : 16.3|45100.0 : 16.3;-1000.0 : -71.2|20000.0 : -29.6|36089.0 : -18.7|40000.0 : -24.0|45100.0 : -24.0;-1000.0 : 37.4|0.0 : 39.4|10000.0 : 39.4;-1000.0 : -71.2|10000.0 : -49.2
